protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2
Six-State,ionq_aria,trapped_ion,10,1.0,7,0.6309573444801932,315,183,0.366,0.17085709322186468,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,8,0.6309573444801932,315,174,0.348,0.06301395596696271,0.08823590672627851,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,9,0.6309573444801932,315,154,0.308,0.20419042655519803,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,0,0.6309573444801932,315,175,0.35,0.18076101479049214,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,1,0.6309573444801932,315,169,0.338,0.379290426555198,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,2,0.6309573444801932,315,165,0.33,0.254290426555198,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,3,0.6309573444801932,315,162,0.324,0.066790426555198,0.07178972268620262,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,4,0.6309573444801932,315,185,0.37,0.17095709322186467,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,5,0.6309573444801932,315,162,0.324,0.254290426555198,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,6,0.6309573444801932,315,171,0.342,0.35723160302578627,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,7,0.6309573444801932,315,164,0.328,0.129290426555198,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,8,0.6309573444801932,315,165,0.33,0.004290426555198002,0.30101863210953206,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.2,9,0.6309573444801932,315,168,0.336,0.254290426555198,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.5,0,0.6309573444801932,315,158,0.316,0.07110709322186465,0.05874708637361973,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.5,1,0.6309573444801932,315,176,0.352,0.06326395596696269,0.08849676970447533,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.5,2,0.6309573444801932,315,172,0.344,0.18091101479049213,0.0,0.9995,0.987,10000,1000
