protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2,num_bases_used,bell_parameter,entanglement_verified,decoy_qber,attack_detected
AB-QKD,ionq_aria,trapped_ion,10,1.0,9,0.6309573444801932,315,122,0.244,0.004190426555198013,0.2229941078677556,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,0,0.6309573444801932,315,109,0.218,0.304290426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,1,0.6309573444801932,315,124,0.248,0.08762375988853133,0.01421688992475975,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,2,0.6309573444801932,315,155,0.31,0.13762375988853134,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,3,0.6309573444801932,315,130,0.26,0.2350596573244288,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,4,0.6309573444801932,315,118,0.236,0.2770176992824707,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,5,0.6309573444801932,315,125,0.25,0.17095709322186467,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,6,0.6309573444801932,315,121,0.242,0.254290426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,7,0.6309573444801932,315,122,0.244,0.3376237598885313,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,8,0.6309573444801932,315,116,0.232,0.36792679019156166,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.2,9,0.6309573444801932,315,123,0.246,0.3376237598885313,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,0,0.6309573444801932,315,127,0.254,0.254440426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,1,0.6309573444801932,315,137,0.274,0.15828658040135185,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,2,0.6309573444801932,315,124,0.248,0.17110709322186465,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,3,0.6309573444801932,315,101,0.202,0.304440426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,4,0.6309573444801932,315,126,0.252,0.3377737598885313,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,5,0.6309573444801932,315,130,0.26,0.08136350347827491,0.027215761681932897,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,6,0.6309573444801932,315,131,0.262,0.08136350347827491,0.027425113694870842,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,7,0.6309573444801932,315,126,0.252,0.08777375988853131,0.014165206765111276,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,8,0.6309573444801932,315,123,0.246,0.254440426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.5,9,0.6309573444801932,315,132,0.264,0.08136350347827491,0.027634465707808788,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,0,0.6309573444801932,315,81,0.162,0.25469042655519797,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,1,0.6309573444801932,315,77,0.154,0.14754756941234082,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,2,0.6309573444801932,315,85,0.17,0.12969042655519797,0.0,0.9995,0.987,10000,1000,6.0,,,,
